smnno,first_month,amount,second_month,amount,third_month,amount 
JP0310,OCT,40775,NOV,40775,DEC,40775
JP0312,OCT,36167,NOV,36167,DEC,36167
JP0313,OCT,27794,NOV,27794,DEC,27794
JP0314,OCT,14417,NOV,14417,DEC,14417
JP0319,OCT,43424,NOV,43424,DEC,43424
JP0322,OCT,0,NOV,0,DEC,0
JP0324,OCT,21108,NOV,21108,DEC,21108
JP0328,OCT,5000,NOV,5000,DEC,5000
JP0331,OCT,21500,NOV,21500,DEC,21500
JP0332,OCT,36008,NOV,36008,DEC,36008
JP0333,OCT,20792,NOV,20792,DEC,20792
JP0337,OCT,5000,NOV,5000,DEC,5000
JP0338,OCT,30578,NOV,30578,DEC,30578
JP0339,OCT,16042,NOV,16042,DEC,16042
JP0340,OCT,17500,NOV,17500,DEC,17500
JP0341,OCT,25605,NOV,25605,DEC,25605
JP0342,OCT,17583,NOV,17583,DEC,17583
JP0344,OCT,11250,NOV,11250,DEC,11250
JP0345,OCT,5000,NOV,5000,DEC,5000
JP0349,OCT,26014,NOV,26014,DEC,26014
JP0352,OCT,35092,NOV,35092,DEC,35092
JP0354,OCT,42767,NOV,42767,DEC,42767
JP0355,OCT,16500,NOV,16500,DEC,16500
JP0356,OCT,5000,NOV,5000,DEC,5000
JP0357,OCT,15000,NOV,15000,DEC,15000
JP0358,OCT,25217,NOV,25217,DEC,25217
JP0359,OCT,5000,NOV,5000,DEC,5000
JP0360,OCT,5000,NOV,5000,DEC,5000
JP0361,OCT,5000,NOV,5000,DEC,5000
JP0363,OCT,10000,NOV,10000,DEC,10000
JP0364,OCT,35708,NOV,35708,DEC,35708
JP0365,OCT,13334,NOV,13334,DEC,13334
JP0366,OCT,21750,NOV,21750,DEC,21750
JP0367,OCT,23500,NOV,23500,DEC,23500
JP0368,OCT,5000,NOV,5000,DEC,5000
JP0369,OCT,12000,NOV,12000,DEC,12000
JP0371,OCT,35343,NOV,35343,DEC,35343
JP0373,OCT,12000,NOV,12000,DEC,12000
JP0375,OCT,5000,NOV,5000,DEC,5000
JP0376,OCT,41867,NOV,41867,DEC,41867
JP0377,OCT,19631,NOV,19631,DEC,19631
JP0378,OCT,5000,NOV,5000,DEC,5000
JP0380,OCT,35292,NOV,35292,DEC,35292
JP0382,OCT,5000,NOV,5000,DEC,5000
